"point" "x" "y" "z"
"333" "-5.34740019" "-18.00939941" "15.09889984"
"334" "-7.99259996" "-16.46129990" "10.72140026"
"335" "-7.04050016" "-16.74489975" "11.86209965"
"336" "-5.19220018" "-18.12080002" "14.94089985"
"337" "-5.05310011" "-18.05509949" "14.73019981"
"338" "-7.70459986" "-16.49060059" "10.43369961"
"339" "-8.12010002" "-17.51440048" "10.97449970"
"340" "-7.20160007" "-16.41650009" "9.91129971"
"341" "-5.06890011" "-16.33219910" "11.67160034"
"342" "-7.04640007" "-16.45140076" "9.75529957"
"343" "-6.44309998" "-17.66130066" "11.38469982"
"344" "-7.14309978" "-17.21080017" "9.93719959"
"345" "-6.82070017" "-17.85849953" "10.73359966"
"346" "-6.12750006" "-17.91600037" "11.07979965"
"347" "-7.03910017" "-16.44379997" "8.78339958"
"348" "-6.49720001" "-17.76390076" "10.36830044"
"349" "-5.23420000" "-15.50220013" "8.65569973"
"350" "-5.72410011" "-16.42930031" "22.78450012"
"351" "-5.10629988" "-16.48780060" "21.67690086"
"352" "-5.52430010" "-17.27910042" "20.93650055"
"353" "-5.32900000" "-15.60550022" "17.81539917"
"354" "-4.88009977" "-16.43009949" "19.26370049"
"355" "-4.65430021" "-17.59149933" "19.57769966"
"356" "-7.15339994" "-16.22060013" "-0.43290001"
"357" "-7.04279995" "-16.28770065" "1.43139994"
"358" "-5.87820005" "-13.81760025" "-0.43950000"
"359" "-7.17329979" "-16.22100067" "-0.59759998"
"360" "-7.07140017" "-16.24510002" "0.00930000"
"361" "-7.08669996" "-16.25279999" "0.64950001"
"362" "-7.15880013" "-16.27000046" "0.66820002"
"363" "-7.06430006" "-16.26059914" "1.91460001"
"364" "-7.12790012" "-16.27129936" "1.93439996"
"365" "-7.20109987" "-16.30380058" "1.95570004"
"366" "-7.05319977" "-16.37109947" "5.86469984"
"367" "-7.11229992" "-16.35040092" "5.88679981"
"368" "-7.00920010" "-16.48040009" "8.02060032"
"369" "-7.01599979" "-16.47249985" "8.78390026"
"370" "-7.24630022" "-16.42320061" "8.12310028"
"371" "-7.11079979" "-16.38260078" "8.80799961"
"372" "-7.17049980" "-16.38240051" "8.83899975"
"373" "-6.95749998" "-16.44109917" "4.44129992"
"374" "-6.99340010" "-16.38419914" "4.45149994"
"375" "-7.21729994" "-16.36249924" "3.87120008"
"376" "-5.06619978" "-16.33819962" "11.71689987"
"377" "-5.13070011" "-16.33939934" "11.75640011"
"378" "-5.19880009" "-16.34040070" "11.79769993"
